TestCaseID,RequirementID,RequirementText,SourceFormat,GeneratedTestCase,ExpectedResult,TestType,ComplianceStandard,IntegratedTool,Status
TC001,REQ-HS-01,The system must allow physicians to securely log in using two-factor authentication (2FA).,PDF,Verify that a user with valid credentials is prompted for a 2FA code from their authenticator app upon login.,User successfully logs in after providing the correct 2FA code.,Security,ISO 27001,Jira,Approved
TC002,REQ-HS-01,The system must allow physicians to securely log in using two-factor authentication (2FA).,PDF,Verify that a user with valid credentials fails to log in if an incorrect 2FA code is entered.,"An error message 'Invalid 2FA code' is displayed, and access is denied.",Security,ISO 27001,Jira,Approved
TC003,REQ-PD-05,"Patient demographic data (Name, DoB, Address) must be encrypted at rest in the database.",Word,"Create a new patient record. Directly query the database to confirm that the fields for Name, DoB, and Address are stored in an encrypted format.",The retrieved data from the database for the specified fields is unreadable ciphertext.,Security,GDPR,Azure DevOps,Auto-Generated
TC004,REQ-EHR-12,The system shall generate an audit trail for every access and modification of a patient's Electronic Health Record (EHR).,XML,"Log in as a nurse, view a patient record, and add a new allergy. Check the audit log.","The audit log contains an entry with the nurse's user ID, timestamp, patient ID, and details of the 'add allergy' action.",Compliance,FDA 21 CFR Part 11,Polarion,Needs Review
TC005,REQ-EHR-12,The system shall generate an audit trail for every access and modification of a patient's Electronic Health Record (EHR).,XML,Log in as an administrator and attempt to delete an audit log entry.,"The system prevents deletion of the audit log entry, and an 'access denied' error is shown.",Compliance,FDA 21 CFR Part 11,Polarion,Approved
TC006,REQ-UI-03,The patient search functionality must return results within 2 seconds for a database of 1 million records.,Markup,Execute a search for a common patient name ('John Smith') against the test database of 1 million records.,Search results are displayed on the screen in under 2 seconds.,Performance,N/A,Jira,Auto-Generated
TC007,REQ-DATA-08,The system must support importing patient data using the HL7 V2 standard.,XML,Prepare a valid HL7 V2 message with new patient data. Use the import tool to process the message.,The new patient's record is created in the system with all data from the HL7 message correctly populated.,Functional,N/A,Azure DevOps,Approved
TC008,REQ-DATA-08,The system must support importing patient data using the HL7 V2 standard.,XML,Attempt to import a malformed HL7 V2 message.,The system rejects the message and logs a detailed error indicating the point of failure in the message structure.,Functional,N/A,Azure DevOps,Approved
TC009,REQ-DEV-02,The software must adhere to the IEC 62304 standard for medical device software lifecycle processes.,PDF,Verify that the version control system shows evidence of code reviews for all safety-critical modules.,Pull requests for modules tagged 'safety-critical' require at least one approved review before merging.,Compliance,IEC 62304,Jira,Needs Review
TC010,REQ-REP-01,The system must be able to generate an annual summary report of patient encounters.,Word,Select a date range of one year and trigger the generation of the annual summary report.,"A PDF report is generated containing aggregated, anonymized data on all patient encounters within the specified year.",Functional,ISO 9001,Polarion,Auto-Generated
TC011,REQ-SEC-04,User sessions must automatically time out after 15 minutes of inactivity.,PDF,Log in to the system and leave the session idle for 16 minutes. Attempt to perform an action.,The system automatically logs the user out and redirects them to the login screen.,Security,ISO 27001,Jira,Approved
TC012,REQ-PHR-07,Patients must be able to access their lab results through the patient portal.,Markup,Log in to the patient portal as a patient with new lab results. Navigate to the 'Lab Results' section.,The patient can view and download their lab results in PDF format.,Functional,N/A,Azure DevOps,Approved
TC013,REQ-PHR-07,Patients must be able to access their lab results through the patient portal.,Markup,Log in as Patient A and attempt to access the lab results of Patient B by manipulating the URL.,The system displays an 'Unauthorized Access' error and prevents access to Patient B's data.,Security,GDPR,Azure DevOps,Approved
TC014,REQ-ISO-01,The quality management system must be compliant with ISO 13485.,PDF,Review the documentation repository for the presence of a formal risk management plan.,A document titled 'Risk Management Plan' exists and has been signed off by the project manager.,Compliance,ISO 13485,Polarion,Needs Review
TC015,REQ-ISO-01,The quality management system must be compliant with ISO 13485.,PDF,Check the change control log for a recent software patch.,"The log shows that the patch underwent impact analysis, verification, and validation before deployment.",Compliance,ISO 13485,Polarion,Auto-Generated
TC016,REQ-INT-09,The system must integrate with the hospital's Philips MRI machine via DICOM protocol.,XML,Initiate a new MRI scan on the Philips machine for a registered patient.,The resulting DICOM image series is automatically sent to and stored in the patient's record in the system.,Functional,N/A,Jira,Approved
TC017,REQ-ALERT-03,The system must trigger a critical alert if a patient's potassium level is outside the range of 3.5-5.2 mEq/L.,Word,Manually enter a lab result for a patient with a potassium level of 3.2 mEq/L.,A critical alert notification is immediately sent to the attending physician's dashboard.,Functional,IEC 62304,Azure DevOps,Auto-Generated
TC018,REQ-ALERT-03,The system must trigger a critical alert if a patient's potassium level is outside the range of 3.5-5.2 mEq/L.,Word,Manually enter a lab result for a patient with a potassium level of 4.5 mEq/L.,No critical alert is generated for this patient.,Functional,IEC 62304,Azure DevOps,Approved
TC019,REQ-POC-01,The system must be ready for a GDPR-compliant Proof of Concept (PoC).,Markup,Verify that the PoC environment has data anonymization scripts available for use.,A set of SQL or Python scripts for data anonymization is present in the PoC deployment package.,Compliance,GDPR,Jira,Needs Review
TC020,REQ-POC-01,The system must be ready for a GDPR-compliant Proof of Concept (PoC).,Markup,Verify that all data storage for the PoC is configured to be within EU data centers.,"The Firebase/BigQuery instance configuration specifies a European region (e.g., 'europe-west').",Compliance,GDPR,Jira,Auto-Generated
TC021,REQ-HS-02,"The system must enforce strong password policies: minimum 12 characters, 1 uppercase, 1 lowercase, 1 number, 1 special character.",PDF,Attempt to create a new user account with the password 'Password123'.,The system rejects the password and displays an error message detailing the missing special character requirement.,Security,ISO 27001,Azure DevOps,Approved
